,datetime,Lat,Lon
905615,9/13/2014 1:12:00,40.7381,-74.0034
38570,8/1/2014 20:02:00,40.7667,-73.9519
137825,8/14/2014 20:33:00,40.7573,-73.9752
663698,9/3/2014 9:26:00,40.7469,-73.9906
335529,8/7/2014 19:13:00,40.7163,-73.9878
143896,4/21/2014 18:36:00,40.7414,-73.9856
293525,4/22/2014 21:03:00,40.7406,-74.0058
365584,7/12/2014 8:50:00,40.694,-73.9061
179446,7/19/2014 20:23:00,40.7366,-73.9817
995836,9/26/2014 21:12:00,40.7539,-73.9885
385294,6/19/2014 22:08:00,40.7288,-74.0027
571111,5/21/2014 0:35:00,40.7366,-73.9909
841060,9/29/2014 14:13:00,40.7108,-73.9445
667182,7/14/2014 9:24:00,40.671,-73.958
373322,7/12/2014 23:40:00,40.7248,-73.9782
226566,6/24/2014 20:12:00,40.6878,-74.1816
163268,7/17/2014 21:29:00,40.7346,-73.9942
588213,8/29/2014 23:38:00,40.7595,-73.991
394492,5/26/2014 12:59:00,40.6416,-73.7885
747367,9/15/2014 3:55:00,40.8092,-73.9519
423908,7/17/2014 18:28:00,40.7397,-74.0062
570139,9/24/2014 1:24:00,40.7645,-73.9757
775913,8/30/2014 22:34:00,40.7297,-74.0006
234779,7/26/2014 13:15:00,40.7407,-74.0019
797607,8/19/2014 18:40:00,40.7517,-73.9746
528105,4/28/2014 7:20:00,40.7165,-74.0098
485801,8/20/2014 19:37:00,40.7355,-73.9827
36447,5/31/2014 18:31:00,40.7441,-73.9924
741837,9/13/2014 23:54:00,40.8174,-73.9386
325439,8/6/2014 23:32:00,40.7142,-73.9897
168302,6/17/2014 12:31:00,40.7642,-73.9789
284217,6/3/2014 9:20:00,40.7227,-74.0104
308723,9/4/2014 6:24:00,40.6953,-73.9796
579899,7/31/2014 10:09:00,40.7682,-73.9841
774131,9/18/2014 22:32:00,40.8003,-73.9682
382173,8/11/2014 19:58:00,40.7242,-74.0013
644928,9/30/2014 11:18:00,40.7319,-74.0094
487801,4/23/2014 8:56:00,40.7668,-73.9834
11734,6/11/2014 13:59:00,40.7563,-73.9616
271840,6/30/2014 13:40:00,40.7063,-74.0093
79401,4/9/2014 18:32:00,40.7484,-73.9888
332930,5/10/2014 15:24:00,40.6811,-73.9649
598406,8/31/2014 1:34:00,40.6665,-73.9876
175612,7/19/2014 10:48:00,40.7595,-73.9284
108442,7/11/2014 17:15:00,40.7714,-73.9266
525027,9/19/2014 23:42:00,40.7279,-74.003
809062,8/24/2014 21:11:00,40.7113,-74.0162
250350,5/26/2014 10:45:00,40.7124,-73.8341
324611,7/8/2014 9:19:00,40.7102,-74.0139
780334,8/31/2014 22:19:00,40.7447,-73.8437
657849,8/8/2014 21:30:00,40.7436,-73.9997
146775,8/15/2014 22:20:00,40.6448,-73.7819
13701,7/14/2014 19:53:00,40.7348,-73.9946
514665,8/22/2014 23:53:00,40.6483,-73.7827
747628,9/15/2014 5:45:00,40.719,-73.964
70366,6/5/2014 17:41:00,40.7548,-73.9883
671789,8/11/2014 17:03:00,40.6554,-74.0089
492552,9/17/2014 18:52:00,40.7211,-74.0083
145013,6/13/2014 20:26:00,40.7801,-73.9608
138814,5/13/2014 12:11:00,40.6876,-74.0981
239073,8/29/2014 20:55:00,40.784,-73.9704
480807,5/8/2014 22:21:00,40.741,-74.0076
337236,4/2/2014 16:31:00,40.7642,-73.9764
104219,5/9/2014 6:31:00,40.7384,-73.9953
446900,7/19/2014 18:30:00,40.7624,-73.9788
123300,4/17/2014 19:00:00,40.759,-73.9765
962796,9/21/2014 22:32:00,40.6817,-73.8555
594088,8/30/2014 17:20:00,40.7786,-73.9582
380628,5/22/2014 16:54:00,40.724000000000004,-74.0022
460126,5/6/2014 15:05:00,40.6628,-73.9943
15128,8/14/2014 14:03:00,40.7556,-73.9996
958149,9/21/2014 1:47:00,40.7186,-73.9889
634242,6/27/2014 10:43:00,40.7194,-73.9946
660222,8/9/2014 10:22:00,40.766,-73.9199
52608,5/2/2014 20:16:00,40.7081,-73.7879
616630,6/24/2014 22:08:00,40.7231,-73.9913
41538,9/2/2014 12:08:00,40.7654,-73.9609
65734,5/4/2014 11:52:00,40.7939,-73.9422
32269,9/28/2014 16:55:00,40.7739,-73.8719
66081,5/4/2014 13:19:00,40.8614,-73.8907
127837,5/11/2014 18:05:00,40.6457,-73.7768
213298,4/30/2014 17:34:00,40.7642,-73.9705
730191,9/12/2014 17:13:00,40.7534,-73.9924
328816,7/8/2014 18:22:00,40.7548,-73.9897
404115,7/15/2014 22:16:00,40.7239,-73.9937
